Script ID,Item,Item type,Item question,Question Response
E9I6265,The messenger who summoned the knight read the letter from the king.,,Did the messenger read a book?,N
E9I7266,The linguist who ridiculed the historian proposed the hypothesis for the problem.,,Did the linguist disagree with the hypothesis?,N
E9I8267,The biker who ignored the driver made the turn at the crossing.,,Did the biker go straight?,N
E9I9268,The lover who regretted the painter sent a rose in the evening.,,Did the lover give a flower?,Y
E9I10269,The musician who sensed the producer played the piano in the studio.,,Did the musician play in the studio?,Y
E9I11270,The principal who judged the scholar patrolled the hall during school hours.,,Did the principal walk the hallways?,Y
E9I12271,The teammate who revived the athlete won the game on the field.,,Did the teammate win the game?,Y
E9I13272,The wizard who healed the medicine man stopped the boat at the bridge.,,Did the wizard halt the boat?,Y
E9I14273,The lord who embraced the lady ate the muffin in the kitchen.,,Did the lord eat in the kitchen?,Y
E9I15274,The guard who watched the agent took a break at the shop.,,Did the guard take a break?,Y
E9I16275,The sister who supervised the brother got some crayons from the box.,,Did the sister get crayons?,Y
E10I1276,The hostess who the father surprised opened a bottle of fresh champagne.,,Did the hostess open a beer?,N
E10I2277,The bishop who the deacon amazed drank the wine in the sanctuary.,,Did the bishop drink water?,N
E10I3278,The celebrity who the cameraman shocked spent the day at the zoo.,,Did the celebrity go to the aquarium?,N
E10I4279,The grandmother who the child fed took a nap in the afternoon.,,Did the grandmother watch tv?,N
E10I5280,The officer who the inspector arrested released a statement to the press.,,Did the officer avoid the press?,N
E10I6281,The therapist who the masseuse trained heated bath water for a client.,,Did the therapist give cold baths?,N
E10I7282,The doctor who the resident examined stitched a wound with great ease.,,Did the wound give the doctor difficulty?,N
E10I8283,The architect who the engineer fired built town houses for rich heiresses.,,Did the architect build country homes?,N
E10I9284,The neighbor who the housewife imitated earned prize money for her pies.,,Did the neighbor bake pies?,Y
E10I10285,The student who the classmate frightened received a detention when classes ended.,,Did the student have to stay after school?,Y
E10I11286,The horticulturist who the landscaper irritated used his intuition to grow flowers.,,Did the horticulturist use his instincts?,Y
E10I12287,The man who the criminal kicked participated in therapy for anger management.,,Did the man have trouble with anger?,Y
E10I13288,The prostitute who the pimp outsmarted counted her money in the alley.,,Did the prostitute go through her cash?,Y
E10I14289,The governor who the mobster blackmailed turned up dead in his office.,,Did the governor die?,Y
E10I15290,The chef who the talk show host extolled brought good business the whole year.  ,,Did the chef attract business?,Y
E10I16291,The servant who the maid seduced went to college on a scholarship.,,Did the servant attend college?,Y
F11I1292,The clerk at the records office clarified the confusing statement on the application.,Filler,Was the statement very straightforward?,N
F11I2293,The handsome prince offered but his bride's family declined the fortune.,Filler,Would the prince remain a bachelor?,N
F11I3294,The two friends wagered their allowance on who would get the highest test score.,Filler,Did the friends bet on a baseball game?,N
F11I4295,The mysterious woman divulged her deepest and darkest secrets to the bus driver.,Filler,Was the woman very shy?,N
F11I5296,The radio newscaster verified the short and exciting report before the broadcast.,Filler,Was the report true?,Y
F11I6297,The bargain shopper saw the beautiful and expensive raincoat after the sale was over.,Filler,Was the shopper careless with cash?,N
F11I7298,The exuberant team planned a huge and extravagant party for after the game.,Filler,Did the team feel good about things?,Y
F11I8299,The science teacher verified the unexpected results because she found them implausible.,Filler,Did the results seem strange?,Y
F11I9300,The temporary assistant saw the short and inappropriate memo while rummaging through the files.,Filler,Did the assistant notice the memo?,Y
F11I10301,The injured man imagined the attack while in the emergency room.,Filler,Had the man been assaulted?,Y
F11I11302,The worried mother determined the explanation for why her son had been avoiding her.,Filler,Was the mother concerned about her son?,Y
F11I12303,The flight attendant clarified the instructions when the passengers asked questions.,Filler,Was the flight attendant helpful?,Y
F11I13304,The church workers offered the kids a free bible and some coloring books.,Filler,Did the workers offer them food?,N
F11I14305,The curious girl comprehended the answer but asked the question again.,Filler,Did the girl understand the first time?,Y
F11I15306,The office staff raced but there was no clear winner.,Filler,Did someone come in first place?,N
F11I16307,The teacher's assistant divulged the purpose of her colleague's absence.,Filler,Did the assistant know the purpose?,Y
F11I17308,Many of the cheerleaders recalled the difficult and strenuous routine from last year's homecoming game.,Filler,Did the cheerleaders forget the routine?,N
F11I18309,The attorneys for the family disputed the authorities' version of what transpired.,Filler,Were the events completely agreed upon?,N
F11I19310,The wealthy investor regretted the bad and unfortunate decision once he realized the consequences.,Filler,Was the investor rich?,Y
F11I20311,The models in the fashion show revealed their stylish tank tops.,Filler,Were the models wearing sweaters?,N
F11I21312,The I.R.S. agent demanded the full amount the week following the audit.,Filler,Did the audit go well?,N
F11I22313,The poodle recognized his owner's scent on the clothing that was discovered.,Filler,Did the dog have a keen sense of smell?,Y
F11I23314,The waitress promised her regulars a free cup of coffee.,Filler,Would the regulars have eggs?,N
F11I24315,The foreign students sat down but couldn't understand the lecture.,Filler,Were the students a bit confused?,Y
F11I25316,The angry mob announced their demands but still refused to negotiate.,Filler,Did the mob want to compromise?,N
F11I26317,The nervous teenager lied to the judge to avoid incriminating his friend.,Filler,Did the witness commit perjury?,Y
F11I27318,The bored librarian painted her fingernails after shelving several books.,Filler,Was the librarian very busy?,N
F11I28319,The interior decorator hammered away and hung the painting on the wall.,Filler,Did the decorator hang a poster?,N
F11I29320,The new salesman insulted the stranger and she left the store.,Filler,Was the stranger satisfied?,N
F11I30321,The soccer player kicked the ball through the goalie's hands.,Filler,Did the soccer player score?,Y
F11I31322,The thoughtful daughter cared for her elderly mother.,Filler,Was the mother taken care of?,Y
F11I32323,The new homeowner slept in the room next to the garden.,Filler,Did the homeowner sleep near plants and shrubs?,Y
E1I1324,The popular cheerleader heard the story had gone all over school.,Ambiguous,Was the story contained?,N
E1I2325,The school staff printed the article was stolen from the office.,Ambiguous,Was the article taken from the office?,Y
E1I3326,The absent-minded grandmother forgot the key was still in her pocket.,Ambiguous,Was the key in a drawer?,N
E1I4327,The ignorant citizen advocated the strategy would promote nuclear power.,Ambiguous,Did the citizen believe the strategy supported nuclear power?,Y
E1I5328,The adventurous sailor discovered the wreck contained several rare medicinal plants.,Ambiguous,Were rare plants housed in the wreck?,Y
E1I6329,The aging hippie protested the policy was started for selfish reasons.,Ambiguous,Was the policy started for compassionate reasons?,N
E1I7330,The enthusiastic manager accepted the money was intended for her client.,Ambiguous,Was the money for the manager?,N
E1I8331,The tour guide warned the spectators were scared by ghost sightings.,Ambiguous,Were the observers frightened?,Y
E2I1332,The struggling pupil understood that the message was important for his grade.,Unambiguous,Was the message important for the student’s success?,Y
E2I2333,The job applicant emphasized that the problems couldn't be resolved by Friday.,Unambiguous,Could the issue be resolved by the end of the work week?,N
E2I3334,The bestselling author wrote that the essay was based on autobiographical events.,Unambiguous,Was the essay based on the author’s life?,Y
E2I4335,The curious toddler learned that the equations gave her brother a headache.,Unambiguous,Did the equations frustrate her brother?,Y
E2I5336,The abashed publicist confirmed that the rumor was started by his daughter.,Unambiguous,Did the publicist’s daughter generate the rumor?,Y
E2I6337,The vehement columnist asserted that the belief was drastically misleading the masses.,Unambiguous,Did the columnist think the opinion was correct?,N
E2I7338,The apprentice mechanic maintained that the machinery was broken beyond repair.,Unambiguous,Could the machine be fixed?,N
E2I8339,The befuddled foreigner repeated that the poem did not make logical sense.,Unambiguous,Did the foreigner understand the poem?,N
E3I1340,The nervous candidate believed the interviewer had asked him interesting questions.,Ambiguous,Did the candidate like the interviewer’s questions?,Y
E3I2341,The brilliant researcher figured the sum was impossible given the equation.,Ambiguous,Did the equation make the process easier? ,N
E3I3342,The rookie athlete realized the mistake ruined her chances of winning.,Ambiguous,Would the athlete lose because of the mistake?,Y
E3I4343,The undergraduate student concluded the lesson would not actually be useful.,Ambiguous,Was there a valuable lesson taught?,N
E3I5344,The defense attorney inferred the reason would be argued strongly.,Ambiguous,Would the reason be argued well?,Y
E3I6345,The freshman senator indicated the problem could be fixed through perseverance.,Ambiguous,Was the problem permanent?,N
E3I7346,The auto mechanic admitted the error was on purpose for money.,Ambiguous,Was the error deceiving?,Y
E3I8347,The appreciative employee implied the raise would help pay his debts.,Ambiguous,Did the raise disappoint the employee? ,N
E4I1348,The respected actress suggested that the scene had been written very poorly.,Unambiguous,Was the actress satisfied?,N
E4I2349,The train conductor worried that the passengers wouldn’t enjoy the long trip.,Unambiguous,Was the trip going to be long?,Y
E4I3350,The angry protestor proved that the theory would not be universally accepted.,Unambiguous,Was the theory popular?,N
E4I4351,The naïve politician assumed that the burden had was not his to carry.,Unambiguous,Was the politician responsible for the problem?,N
E4I5352,The young teacher argued that the issue must be discussed in class.,Unambiguous,Was there a topic discussed?,Y
E4I6353,The music reviewer decided that the appeal would not attract the band.,Unambiguous,Was the band turned off by the appeal?,Y
E4I7354,The strict manager suspected that the workers deserved more discipline than required.,Unambiguous,Were the workers unreliable?,Y
E4I8355,The ruthless outlaw claimed that the reward would not be convincing enough.,Unambiguous,Would the outlaw be turned in because of the reward?,N
E9I1356,The hostess who surprised the father opened a bottle of fresh champagne.,,Did the hostess open a beer?,N
E9I2357,The bishop who amazed the deacon drank the wine in the sanctuary.,,Did the bishop drink water?,N
E9I3358,The celebrity who shocked the cameraman spent the day at the zoo.,,Did the celebrity go to the aquarium?,N
E9I4359,The grandmother who fed the child took a nap in the afternoon.,,Did the grandmother watch tv?,N
E9I5360,The officer who arrested the inspector released a statement to the press.,,Did the officer avoid the press?,N
E9I6361,The therapist who trained the masseuse heated bath water for a client.,,Did the therapist give cold baths?,N
E9I7362,The doctor who examined the resident stitched a wound with great ease.,,Did the wound give the doctor difficulty?,N
E9I8363,The architect who fired the engineer built town houses for rich heiresses.,,Did the architect build country homes?,N
E9I9364,The neighbor who imitated the housewife earned prize money for her pies.,,Did the neighbor bake pies?,Y
E9I10365,The student who frightened the classmate received a detention when classes ended.,,Did the student have to stay after school?,Y
E9I11366,The horticulturist who irritated the landscaper used his intuition to grow flowers.,,Did the horticulturist use his instincts?,Y
E9I12367,The man who kicked the criminal participated in therapy for anger management.,,Did the man have trouble with anger?,Y
E9I13368,The prostitute who outsmarted the pimp counted her money in the alley.,,Did the prostitute go through her cash?,Y
E9I14369,The governor who blackmailed the mobster turned up dead in his office.,,Did the governor die?,Y
E9I15370,The chef who extolled the talk show host brought good business the whole year.,,Did the chef attract business?,Y
E9I16371,The servant who seduced the maid went to college on a scholarship.,,Did the servant attend college?,Y
E10I1372,The mole who the defector exposed rejected the offer on the spot.,,Did the mole accept the offer?,N
E10I2373,The singer who the organizer blamed cancelled the concert in Los Angeles.,,Did the singer perform in LA?,N
E10I3374,The acrobat who the clown mocked performed the trick at the show.,,Did the acrobat skip the show?,N
E10I4375,The customer who the seller upset forgot the receipt on the counter.,,Did the customer remember the receipt?,N
E10I5376,The partner who the businessman introduced presented the report at the meeting.,,Did the partner miss the meeting?,N
E10I6377,The messenger who the knight summoned read the letter from the king.,,Did the messenger read a book?,N
E10I7378,The linguist who the historian ridiculed proposed the hypothesis for the problem.,,Did the linguist disagree with the hypothesis?,N
E10I8379,The biker who the driver ignored made the turn at the crossing.,,Did the biker go straight?,N
E10I9380,The lover who the painter regretted sent a rose in the evening.,,Did the lover give a flower?,Y
E10I10381,The musician who the producer sensed played the piano in the studio.,,Did the musician play in the studio?,Y
E10I11382,The principal who the scholar judged patrolled the hall during school hours.,,Did the principal walk the hallways?,Y
E10I12383,The teammate who the athlete revived won the game on the field.  ,,Did the teammate win the game?,Y
E10I13384,The wizard who the medicine man healed stopped the boat at the bridge.,,Did the wizard halt the boat?,Y
E10I14385,The lord who the lady embraced ate the muffin in the kitchen.,,Did the lord eat in the kitchen?,Y
E10I15386,The guard who the agent watched took a break at the shop.,,Did the guard take a break?,Y
E10I16387,The sister who the brother supervised got some crayons from the box.,,Did the sister get crayons?,Y
F11I1388,The clerk at the records office clarified the confusing statement on the application.,Filler,Was the statement very straightforward?,N
F11I2389,The handsome prince offered but his bride's family declined the fortune.,Filler,Would the prince remain a bachelor?,N
F11I3390,The two friends wagered their allowance on who would get the highest test score.,Filler,Did the friends bet on a baseball game?,N
F11I4391,The mysterious woman divulged her deepest and darkest secrets to the bus driver.,Filler,Was the woman very shy?,N
F11I5392,The radio newscaster verified the short and exciting report before the broadcast.,Filler,Was the report true?,Y
F11I6393,The bargain shopper saw the beautiful and expensive raincoat after the sale was over.,Filler,Was the shopper careless with cash?,N
F11I7394,The exuberant team planned a huge and extravagant party for after the game.,Filler,Did the team feel good about things?,Y
F11I8395,The science teacher verified the unexpected results because she found them implausible.,Filler,Did the results seem strange?,Y
F11I9396,The temporary assistant saw the short and inappropriate memo while rummaging through the files.,Filler,Did the assistant notice the memo?,Y
F11I10397,The injured man imagined the attack while in the emergency room.,Filler,Had the man been assaulted?,Y
F11I11398,The worried mother determined the explanation for why her son had been avoiding her.,Filler,Was the mother concerned about her son?,Y
F11I12399,The flight attendant clarified the instructions when the passengers asked questions.,Filler,Was the flight attendant helpful?,Y
F11I13400,The church workers offered the kids a free bible and some coloring books.,Filler,Did the workers offer them food?,N
F11I14401,The curious girl comprehended the answer but asked the question again.,Filler,Did the girl understand the first time?,Y
F11I15402,The office staff raced but there was no clear winner.,Filler,Did someone come in first place?,N
F11I16403,The teacher's assistant divulged the purpose of her colleague's absence.,Filler,Did the assistant know the purpose?,Y
F11I17404,Many of the cheerleaders recalled the difficult and strenuous routine from last year's homecoming game.,Filler,Did the cheerleaders forget the routine?,N
F11I18405,The attorneys for the family disputed the authorities' version of what transpired.,Filler,Were the events completely agreed upon?,N
F11I19406,The wealthy investor regretted the bad and unfortunate decision once he realized the consequences.,Filler,Was the investor rich?,Y
F11I20407,The models in the fashion show revealed their stylish tank tops.,Filler,Were the models wearing sweaters?,N
F11I21408,The I.R.S. agent demanded the full amount the week following the audit.,Filler,Did the audit go well?,N
F11I22409,The poodle recognized his owner's scent on the clothing that was discovered.,Filler,Did the dog have a keen sense of smell?,Y
F11I23410,The waitress promised her regulars a free cup of coffee.,Filler,Would the regulars have eggs?,N
F11I24411,The foreign students sat down but couldn't understand the lecture.,Filler,Were the students a bit confused?,Y
F11I25412,The angry mob announced their demands but still refused to negotiate.,Filler,Did the mob want to compromise?,N
F11I26413,The nervous teenager lied to the judge to avoid incriminating his friend.,Filler,Did the witness commit perjury?,Y
F11I27414,The bored librarian painted her fingernails after shelving several books.,Filler,Was the librarian very busy?,N
F11I28415,The interior decorator hammered away and hung the painting on the wall.,Filler,Did the decorator hang a poster?,N
F11I29416,The new salesman insulted the stranger and she left the store.,Filler,Was the stranger satisfied?,N
F11I30417,The soccer player kicked the ball through the goalie's hands.,Filler,Did the soccer player score?,Y
F11I31418,The thoughtful daughter cared for her elderly mother.,Filler,Was the mother taken care of?,Y
F11I32419,The new homeowner slept in the room next to the garden.,Filler,Did the homeowner sleep near plants and shrubs?,Y
E1I1420,As the gardener showered the flowers that were yellow and blue were gathered by a child.,RAT- ambig,Did the gardener take a shower?,Y

E1I2421,While the nanny stripped the girl that was tearful and fussy threw a tantrum.,RAT- ambig,Did the nanny strip?,Y

E1I3422,As the model covered up the portrait that was colorful and exact fell from the easel.,RAT- ambig,Did the model cover herself up?,Y

E1I4423,While Kristin put make-up on the model that was tall and thin put on her outfit.,RAT- ambig,Did Kristin put make-up on?,Y

E1I5424,As Chris worked out the issue that was confusing and unclear continued to worsen.,RAT- ambig,Did Chris work out?,Y

E1I6425,While Dave lied down the tiles that were detailed and pricey were cleaned by the maid.,RAT- ambig,Did Dave lie down?,Y

E1I7426,While Robert changed the paint that was vibrant and colorful spilled on the floor.,RAT- ambig,Did Robert change?,Y

E1I8427,As the secretary transferred the files that were important and messy collected on her desk.,RAT- ambig,Did the secretary tranfer?,Y

E1I9428,As the woman soaked the shirt that was clean and folded sat on the dresser.,RAT- ambig,Did the woman soak herself?,Y

E1I10429,While the woman disrobed the mannequin that was frail and shapely stood in the store.,RAT- ambig,Did the woman disrobe?,Y

E1I11430,As the student prepared the salad that was healthy and fresh remained in the refrigerator.,RAT- ambig,Did the student prepare herself?,Y

E1I12431,While the squirrels relocated the acorns that were brown and ripe fell from the trees.,RAT- ambig,Did the squirrels relocate?,Y

E2I1432,The child that was blond and pudgy giggled with delight while Jim bathed.,RAT- unambig,Did Jim bathe?,Y

E2I2433,The baboons that were large and hairy sat in the grass as the chimps groomed.,RAT- unambig,Did the chimps groom themselves?,Y

E2I3434,The car that was red and shiny sat in the driveway while Frank dried off.,RAT- unambig,Did Frank dry himself off?,Y

E2I4435,The cat that was gray and white stared at the dog while the girl scratched.,RAT- unambig,Did the girl scratch herself?,Y

E2I5436,The horse that was sleek and brown stood in the stall as the jockey settled down.,RAT- unambig,Did the jockey settle down?,Y

E2I6437,The baby that was bald and helpless cried softly while the mother undressed.,RAT- unambig,Did the mother undress herself?,Y

E2I7438,The neighbor that was old and cranky coughed loudly as Betty woke up.,RAT- unambig,Did Betty wake up?,Y

E2I8439,The jewelry that was elegant and expensive sparkled brightly while the thief hid.,RAT- unambig,Did the theif hide?,Y

E2I9440,The baby that was small and cute spit up on the bed as Anna dressed.,RAT- unambig,Did Anna dress herself?,Y

E2I10441,The dog that was white and furry barked loudly while the boy washed.,RAT- unambig,Did the boy wash himself?,Y

E2I11442,The patient that was tired and weak watched TV as the nurse shaved.,RAT- unambig,Did the nurse shave?,Y

E2I12443,The children that were tired and irritable sat on the bed as the mother calmed down.,RAT- unambig,Did the mother calm down?,Y

F3I1444,As Mark packed the suitcase Neil called the travel agent.,filler1,Did Neil pack the suitcase? ,N

F3I2445,While the ambassador toured the country the bomb that was large and disastrous exploded in the capital.,filler1,Did the ambassador tour a castle? ,N

F3I3446,As the police chased the prisoner they crashed their car.,filler1,Did the prisoner crash his car? ,N

F3I4447,While the cashier bagged the groceries the customer that was flustered and rushing dropped the coupons.,filler1,Did the cashier drop the bag? ,N

F3I5448,As the repairman patched the roof that was leaky and slippery he fell on the tiles.,filler1,Did the repairman fix the floor? ,N

F3I6449,While the lawyer argued the case the jury that was arrogant and disrespectful slept in the courtroom.,filler1,Did the jury pay close attention? ,N

F3I7450,As the grandma recited the story the son read in bed.,filler1,Did the grandma sleep in bed? ,N

F3I8451,While Janis watched the fish she cleaned the tank.,filler1,Did Janis watch the cat? ,N

F3I9452,As Michael stirred the filling the crust that was golden and delicious baked in the oven.,filler1,Did the filling bake in the oven? ,N

F3I10453,While Alexander tasted the wine the butler answered the door.,filler1,Did the butler taste the wine? ,N

F3I11454,As the researcher compiled the data he created graphs.,filler1,Did a lab assistant create the graphs? ,N

F3I12455,While the father prepared the burgers he covered them with pepper.,filler1,Did the father cover the burgers with mustard? ,N

F3I13456,As Christy recited the monologue the sister that was bored and sleepy left the room.,filler1,Did Christ recite the monologue? ,Y

F3I14457,While Jennifer held the cigar that was aged and expensive she told bad jokes.,filler1,Did Jennifer tell bad jokes? ,Y

F3I15458,As the realtor sold the house that was large and brick she celebrated with her colleagues.,filler1,Did the realtor sell the house? ,Y

F3I16459,While the mother woke the son that was lazy and irresponsible she realized he was late for work.,filler1,Did the mother wake the son? ,Y

F3I17460,As the grandpa picked the raspberries that were large and ripe he saved them for the granddaughter.,filler1,Did the grandpa pick the raspberries? ,Y

F3I18461,While the man reversed the car he listened to the radio.,filler1,Did the man reverse the car? ,Y

F3I19462,As the cat chased the mouse that was small and grey it slid on the linoleum.,filler1,Did the cat chase the mouse? ,Y

F3I20463,While Richard dried the fruit that was ripe and delicious he bagged it for trail mix.,filler1,Did Richard dry the fruit? ,Y

F3I21464,As the waiter lit the candle that was tall and thin he took the couple's order.,filler1,Did the waiter light the candle? ,Y

F3I22465,While the kids teased the friend they watched the movie.,filler1,Did the kids watch the movie? ,Y

F3I23466,As the golfer swung the club the caddy pulled the cart.,filler1,Did the caddy pull the cart? ,Y

F3I24467,As the artist demonstrated the technique the painting that was exquisite and delicate fell off the easel.,filler1,Did the paiting fall off the easel? ,Y

F3I25468,While the woman jumped rope she sprained her ankle.,filler1,Did the woman jump rope? ,Y

F3I26469,While the archer aimed the bow the bird hid in the tree.,filler1,Did the archer aim the bow? ,Y

F3I27470,While the goalie smoothed the ice that was rough and melting he fell on the center line.,filler1,Did the goalie maitain his balance? ,N

F3I28471,As NASA launched the shuttle they taunted the Russians.,filler1,Did NASA reconcile with the Russians? ,N

F3I29472,As the chef sampled the sauce she boiled the noodles.,filler1,Did the chef make pastries? ,N

F3I30473,As the skier removed the skies he collapsed in the snow.,filler1,Did the skier keep his skies on? ,N

F3I31474,As the maid tidied the house she made the bed.,filler1,Did the maid vacuum the floor? ,N

F3I32475,As the contestant spun the wheel that was large and colorful she clapped her hands.,filler1,Did the contestant stay quiet? ,N

F3I33476,While the secretary made the photocopy that was brief and important she broke the Xerox machine.,filler1,Did the secretar send a fax? ,N

F3I34477,As the campers built the fire they gathered more wood.,filler1,Did the campers douse the fire? ,N

F3I35478,As the biologist observed the specimen the patient that was feverish and dying screamed in pain.,filler1,Did the patiet feel better? ,N

F3I36479,While the actor memorized the lines he walked his dog.,filler1,Did the actor walk aloe? ,N

F3I37480,While the ghost rattled the chains that were metal and heavy it woke the tired child.,filler1,Did the child rattle chains? ,N

F3I38481,As the salesman laced the shoe that was small and narrow he slid it on the customer's foot.,filler1,Did the customer wear a large and wide shoe? ,N

F3I39482,While the doctor injected the medicine that was green and bubbly he held the patient.,filler1,Did the doctor give the patient a pill? ,N

F3I40483,While the student used the clarinet the brother covered his ears.,filler1,Did the brother listen attetively? ,N

F3I41484,While the choir sang the hymn the child squirmed in the pew.,filler1,Did the child sing a hymn? ,N

F3I42485,While the minister married the couple he wore the robe.,filler1,Did the minister perform funeral services? ,N

F4I1486,The poodle sniffed the food as he scratched his ear.,filler1,Did the poodle sniff the food?,Y

F4I2487,Mabel fixed the socks while she watched the TV.,filler2,Did Mabel watch the fire? ,N

F4I3488,Joseph freed the bird that was red and yellow as the zookeeper watched in horror.,filler2,Did Joseph free the lion? ,N

F4I4489,The mother served the broccoli while the kids banged the table.,filler2,Did the kids bang the gong? ,N

F4I5490,The tornado destroyed the city hall that was modern and spectacular as it visited the city.,filler2,Did the tornado destroy the auditorium? ,N

F4I6491,The butterfly fluttered her wings while she laid the eggs.,filler2,Did the butterfly flutter her wings? ,Y

F4I7492,Fido gnawed the milk bone that was small and tasty as Dave fed the cat.,filler2,Did Dave feed the cat? ,Y

F4I8493,The camper stirred the beans that were brown and scrumptious while the fire warmed the pot.,filler2,Did the fire warm the house? ,N

F4I9494,The mistress applied lipstick as she rode the bike.,filler2,Did the mistress ride the bike? ,Y

F4I10495,The gymnast hurt her ankle that was twisted and swollen while she completed the vault.,filler2,Did the gymnast complete the vault? ,Y

F4I11496,The professor scolded the student that was conscientious and reliable as they bumped in the hallway.,filler2,Did the professor scold the senator? ,N

F4I12497,The grandma braided the pigtails that were thick and blonde while she groomed the girl.,filler2,Did the grandma braid the pigtails? ,Y

F4I13498,Andrew observed the house that was dark and haunted as the mother baked the cookies.,filler2,Did the mother bake the cookies? ,Y

F4I14499,The exterminator entered the school while the cockroaches scurried.,filler2,Did the exterminator enter the restaurant? ,N

F4I15500,Gary lost the data that was rare and critical as he reformatted his hard drive.,filler2,Did Gary reformat his hard drive? ,Y

F4I16501,Yasmeen memorized the formula that was long and complicated while the instructor erased the board.,filler2,Did the instructor erase the hard drive? ,N

F4I17502,The cowboy branded the cow as he warmed the instrument over the fire.,filler2,Did the cowboy brand the goat? ,N

F4I18503,The mother comforted the toddler that was chubby and scared while the clown handed him a balloon.,filler2,Did the mother comfort the toddler? ,Y

F4I19504,The fireman rescued the kitten as the house burned to the ground.,filler2,Did the fireman rescue the kitten? ,Y

F4I20505,The referee blew the whistle while he noticed the foul.,filler2,Did the referee notice the foul? ,Y

F4I21506,The hostess folded the bedspread that was pink and musty as the guest entered the bedroom.,filler2,Did the hostess fold the bedspread? ,Y

F4I22507,The kids mixed the ingredients while Tim kneaded the dough.,filler2,Did Tim knead the dough? ,Y

F4I23508,The patient threatened suicide as the psychiatrist administered drugs.,filler2,Did the psychiatrist administer drugs? ,Y

F4I24509,The guitarist plucked the guitar that was old and flat while the lovers entered the room.,filler2,Did the guitarist pluck the guitar? ,Y

F4I25510,The toddler wore the pajamas as he went to bed.,filler2,Did the toddler go to bed? ,Y

F4I26511,Mickey watched the parade while the drummer dropped his instrument.,filler2,Did the drummer drop his pants? ,N

F4I27512,The woman cashed the check that was valuable and important as she stopped at the bank.,filler2,Did the woman cash the check? ,Y

F4I28513,The archaeologist dug the pit that was deep and muddy as the supervisor broke the artifact.,filler2,Did the supervisor break the computer? ,N

F4I29514,The wife washed the dishes as the husband did the laundry.,filler2,Did the wife wash the windows? ,N

F4I30515,The class left the building that was large and brick as it formed a line.,filler2,Did the class leave a restaurant? ,N

F4I31516,The bat bit James as he screamed.,filler2,Did the bat bite Kelly? ,N

F4I32517,The truck driver wiped his brow while he removed his shirt.,filler2,Did the truck driver remove his watch? ,N

F4I33518,The pitcher threw the pitch that was low and inside while the batter held the bat.,filler2,Did the batter hold the pipe? ,N

F4I34519,Desmond held the football that was heavy and brown while Kevin took a fall.,filler2,Did Desmond hold the kitten? ,N

F4I35520,Diana requested the painkiller as she began childbirth.,filler2,Did Diana request a hamburger? ,N

F4I36521,Kate bought the vase that was gorgeous and delicate while the shopkeeper earned commission.,filler2,Did Kate buy the picture frame? ,N

F4I37522,The judge addressed the jury that was rude and inattentive as the witness gave the testimony.,filler2,Did the judge address the class? ,N

F4I38523,The blonde wore the bikini while she washed the car.,filler2,Did the blonde wash her hair? ,N

F4I39524,The soldier went to war while the wife worried at home.,filler2,Did the wife worry at home? ,Y

F4I40525,The postman delivered the package that was large and heavy while the neighbor watered the plants.,filler2,Did the neighbor deliver the package? ,N

F4I41526,The construction worker eyed Karen as he poured the cement.,filler2,Did the construction worker weld a bolt? ,N

F4I42527,The carpenter sanded the wood that was light and knotty as Marcia built the bench.,filler2,Did Marcia build the wagon? ,N

F4I43528,The golden retriever buried the bone as he refilled the hole.,filler2,Did the golden retriever bury the toy? ,N

F4I44529,The zookeeper held the snake that was strong and brown as the children touched it.,filler2,Did the children touch a bird? ,N

F4I45530,The consumer contracted salmonella as she ate the hamburger.,filler2,Did the consumer eat the lemon? ,N

F4I46531,The designer earned money while the miniskirt became popular.,filler2,Did the designer lose money? ,N

F4I47532,The bowler whispered a prayer while he threw the ball.,filler2,Did the bowler use a racket? ,N

F4I48533,The boys forgot the books that were heavy and thick as they left for school.,filler2,Did the boys bring their books? ,N
E1I1534,The frustrated tourists understood the message would mean they couldn't go.,Ambiguous,Were the tourists happy about the message?,N

E1I2535,The angry father emphasized the problems were continuing to get worse.,Ambiguous,Were the problems still bad?,Y

E1I3536,The art critic wrote the interview had not been well received.,Ambiguous,Did the interview go over poorly?,Y

E1I5537,The chemistry student learned the equations could have made measurement more precise.,Ambiguous,Was the student in sociology?,N
E1I4538,The CIA director confirmed the rumor should have been stopped sooner.,Ambiguous,Should the rumor have been better controlled?,Y
E1I6539,The concerned priest asserted the belief would be hard to explain.,Ambiguous,Would the belief be easily explained?,N
E1I7540,The confident engineer maintained the machinery would be hard to destroy.,Ambiguous,Was the machinery easily ruined?,N
E1I8541,The French teacher repeated the poem should be finished by Friday.,Ambiguous,Did the teacher instruct French?,Y
E2I1542,The gossipy neighbor heard that the story had never actually been true.,Unambiguous,Did the story turn out to be false?,Y
E2I3543,The journal editor printed that the article had been slanderous to him.,Unambiguous,Did the editor approve of the article?,N
E2I5544,The new house-sitter forgot that the key would be under the doormat.,Unambiguous,Was this a regular house-sitter?,N
E2I7545,The newspaper editor advocated that the truth needed to be made public.,Unambiguous,Did the editor want to reveal the truth?,Y
